,Cl,NO3,SO4,Na,NH4,Mg,C Orgánico,C Elemental,C Total,S,Ca,V,Cr,Fe,Cu,As,Se,Sr,Hg,Pb,Zn,Mn,Mo,Ni,Ti,Sb,PM2.5,Na.1,Mg.1,Al,K,Co,Ag,Cd,Ba,Hg-ICPcr,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72
Zn,0.3357818101340979,0.48153111013650857,-0.2682459117242474,-0.0947091999469715,0.3411064934381461,,0.3069966452391167,0.3868280509523504,0.3434286343383373,0.38746844402159636,-0.013169178239370393,0.17739933582337536,0.5077863266180885,0.299820825894825,0.5981564792963634,0.4638578169633842,0.03287932167890512,-0.49853334686140566,-0.11531824741862068,0.4868321358601237,1.0,0.5371502040383109,0.6545384293396765,0.01297045706242208,0.055364097607235895,0.5417459355052816,0.2454492749016109,-0.10456851363428758,0.23964470110966926,0.08734273438749351,0.19415083115899973,0.2671144460599125,0.2669160798262235,0.6415730713343349,0.5282831155063054,-0.10908112637634648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn,0.28954991462745416,0.3706493071608505,-0.3021041089194053,-0.011273155801353149,0.252824746596544,,0.5013905680196971,0.21805379227934363,0.48978795322933955,0.5726517629801023,0.4192964349549695,0.1855479065219469,0.5206389930215092,0.8026684732641411,0.466503227672523,0.4462836831757609,-0.040024642717019,-0.36074241289376135,-0.07304569970421648,0.3952319280645684,0.5371502040383109,1.0,0.572992177746103,-0.059288819087148836,0.7241361558852838,0.5796306412597039,0.523747887188196,-0.23561834140430993,0.2379920137421245,0.559432635000279,0.45650534907104096,0.2715151348885807,0.3111648591472643,0.5653879362069795,0.7097459461751031,0.163369589478527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo,0.30130153178450525,0.42255406696818,-0.24974499385721372,-0.058305563480719365,0.38630699491538695,,0.36980032588265654,0.2921304719156212,0.3840777490042136,0.7515901005108145,0.10721401010849868,0.31938775329567487,0.7974406741779548,0.3876341810740169,0.5615673189130348,0.42500063332109594,-0.14220052815526577,-0.3561748805317451,0.5474119711222919,0.6272470200787477,0.6545384293396765,0.572992177746103,1.0,-0.2165179358034333,0.08013692151209886,0.4776915683468823,0.38807384484661783,-0.12569873886971616,0.20500172010583614,0.051592526955998176,0.3567712405264796,0.22894107992135604,0.3212893412897941,0.45095745407881893,0.6162159419556866,0.19040130320143614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ni,-0.042140604698997775,-0.017805334777234224,0.4346852210229447,0.47388034396854345,-0.24581015778854354,,0.08713433523743996,0.1671828166411073,0.10933870781019533,-0.10497441664144959,0.02199012021530402,-0.01233522448007077,0.018118983989487768,0.23773858145525892,-0.1996084324860076,0.15746455425339959,0.3080439427044224,-0.3882528009402061,0.18909835932398375,-0.1715814507924225,0.01297045706242208,-0.059288819087148836,-0.2165179358034333,1.0,-0.034725584913577925,-0.09911308058944926,0.0793805680195705,0.143605839808692,0.03739379589715209,0.23020532239023414,-0.22262943399364468,0.3280887881593935,-0.3318334239130586,-0.19569292456122162,-0.042479589072614524,-0.08600363954193797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti,0.08949253744994676,0.06691608579217224,-0.19828769939397056,0.01828875871974211,0.015575703621404514,,0.1811418428031761,-0.11574538225248732,0.1461640352423387,0.4712781609768424,0.5393031307231446,-0.08618141705864739,0.16555689029952356,0.6801702440329116,0.18557911920460965,0.09539499141172618,-0.19404921566981034,0.31358505300553735,-0.2441722376612005,0.03198908120219927,0.055364097607235895,0.7241361558852838,0.08013692151209886,-0.034725584913577925,1.0,0.2836200637595289,0.2320446648259792,-0.09383839148972566,0.33111148806866514,0.8420790339959064,0.42332642457156816,0.11253568555934736,0.10435624831413459,0.25849126288394975,0.4183363572921525,0.14444911075010614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sb,0.4525330126326952,0.32586831797825094,-0.23338748431660628,-0.055916902294801306,0.16848661955867728,,0.5004077716235661,0.38519453480496346,0.5217872842153587,0.5262875053558914,0.13528689903132282,0.0012975024623169298,0.4123690346056696,0.4350034295188229,0.5003707176268202,0.6429511834218573,-0.129382397803112,-0.26461089133180377,-0.014455823455537234,0.5096639462911602,0.5417459355052816,0.5796306412597039,0.4776915683468823,-0.09911308058944926,0.2836200637595289,1.0,0.4093739625416501,-0.005762586664419849,0.1801047299851888,0.25037592360911215,0.16956353048991377,0.1776100705489541,0.3763259142516427,0.7574434062922679,0.5120222339833095,-0.013612308811058875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM2.5,0.37784638751165633,0.5642394740613871,0.22865014811117412,0.25820719339145315,0.2983482387100452,,0.8871478431051902,0.451704756760519,0.8879911361482453,0.4254744379064598,-0.0914708530160433,0.47679660711852406,0.25677245851938646,0.5002613688033559,0.12967329946577913,0.6448758862515007,0.008332561499782216,-0.2295058265485974,0.3082611832657973,0.3793668453352059,0.2454492749016109,0.523747887188196,0.38807384484661783,0.0793805680195705,0.2320446648259792,0.4093739625416501,1.0,-0.2598601972293643,-0.03490302486935607,0.13467689015117448,0.1157272431260395,0.07686280334486317,0.22546932427279143,0.38682312488331017,0.3590309509549506,0.15684882064662933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na.1,-0.11433686591673793,-0.2707152717170915,0.032685085576631044,0.031524836045383496,-0.15561773493044176,,-0.15459647296763265,-0.1663474348892144,-0.1671614495333174,0.29258588763981297,0.16820158271355626,-0.19203164922897012,-0.12364607610831185,-0.13276456223876587,-0.019574396301323183,-0.07655945952701848,-0.30860588292725527,0.9141800241902949,-0.07697122999499917,-0.08289735663675989,-0.10456851363428758,-0.23561834140430993,-0.12569873886971616,0.143605839808692,-0.09383839148972566,-0.005762586664419849,-0.2598601972293643,1.0,0.0586286368828729,0.06493575880263755,-0.04168110591555891,0.0924686451874843,-0.21166700231985888,-0.031539797993857664,-0.11528494113266222,-0.22051299463788943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg.1,0.2517913873121203,-0.01399707519647667,-0.16569106262142216,0.16164666310864012,-0.024413215650461142,,0.04431037955723928,0.03833036322987084,0.04650865648360001,0.17364579957121506,0.5952442114203412,-0.15350879425034497,0.2518492597188509,0.2591862528600586,0.505429155803,0.12937233901924994,-0.3047088585741849,0.9318826748968156,-0.04371506545985755,0.11147209819711469,0.23964470110966926,0.2379920137421245,0.20500172010583614,0.03739379589715209,0.33111148806866514,0.1801047299851888,-0.03490302486935607,0.0586286368828729,1.0,0.5307319935698115,0.3254845243051869,0.3306070468071789,0.35926828388019394,0.31139557487486375,0.2651847098765077,-0.20062746272861495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al,0.176482922701651,-0.001615610970151364,-0.11823124825224936,0.10377893594697692,-0.059691201461756195,,0.13552406544395085,-0.16408671987970244,0.10144010221521278,0.24480175152863806,0.6038470310001873,-0.12738458028819097,0.09517716263432306,0.6888055346695133,0.2614969111993144,0.16292138093669808,0.03137644401164873,0.6666990764572823,-0.23701994133421778,0.07037648482483459,0.08734273438749351,0.559432635000279,0.051592526955998176,0.23020532239023414,0.8420790339959064,0.25037592360911215,0.13467689015117448,0.06493575880263755,0.5307319935698115,1.0,0.37765205893135156,0.22033303812014532,-0.05544029523115833,0.13066441386503846,0.38444324940666447,-0.02905045113010539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,0.20873911671337267,-0.08919232322120604,-0.2893095459322158,-0.001787968351687643,-0.020671355309141805,,0.10494614341684255,-0.135370231264979,0.07710899193226167,0.3880509749302108,0.5059457676267525,0.16866173039564075,0.21807473332133392,0.3075625981280077,0.5489127307830893,0.27890021421927863,-0.23409364834079288,0.9423585656017898,0.31945069372314094,0.09677136915506229,0.19415083115899973,0.45650534907104096,0.3567712405264796,-0.22262943399364468,0.42332642457156816,0.16956353048991377,0.1157272431260395,-0.04168110591555891,0.3254845243051869,0.37765205893135156,1.0,0.46641996874273983,0.19822650684233106,0.2653891922705578,0.4960796985615472,0.5075629041906875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co,0.27755840367431633,0.019703372706033253,0.07196713189049546,0.3105126574224249,-0.056398451701468934,,0.11217509566915727,0.3068901874010079,0.14846074128602674,0.26356968164136513,0.521515925800613,0.34721922386046533,0.1987241562419254,0.20349529925505136,0.5156854737877588,0.532943547361293,0.14899342375061234,0.3295249006054083,-0.032650412374528225,0.1397205050060672,0.2671144460599125,0.2715151348885807,0.22894107992135604,0.3280887881593935,0.11253568555934736,0.1776100705489541,0.07686280334486317,0.0924686451874843,0.3306070468071789,0.22033303812014532,0.46641996874273983,1.0,0.2509991309028862,0.175447250369065,0.6193284749342401,-0.10949352253786877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag,0.11898916385653449,-0.017094792944223794,-0.28892313760923605,0.16667174464630333,-0.1028326868736694,,0.040632054508466235,0.19568981440747601,0.06133590787874233,-0.04645457650304089,0.18477458511660957,-0.10024234568268918,0.2920858035099399,-0.07034009789267504,0.4084197849537522,0.3305151329705705,-0.3106244893146677,-0.06124568823228583,,0.2898435548202665,0.2669160798262235,0.3111648591472643,0.3212893412897941,-0.3318334239130586,0.10435624831413459,0.3763259142516427,0.22546932427279143,-0.21166700231985888,0.35926828388019394,-0.05544029523115833,0.19822650684233106,0.2509991309028862,1.0,0.3545721119648062,0.18604332797565146,0.30200909744772625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd,0.6535019380183571,0.3262800704877701,-0.1974154601913263,0.04676871577925346,0.43013666226069364,,0.3838714523753635,0.3881622455320326,0.4115962543152421,0.6903971023098101,-0.0341358520722951,0.046486177524508,0.3700862689010156,0.27986132384758544,0.40042736010188956,0.587090932768582,-0.2531078378447711,-0.41037276710424897,-0.2788931704469229,0.27900017507141245,0.6415730713343349,0.5653879362069795,0.45095745407881893,-0.19569292456122162,0.25849126288394975,0.7574434062922679,0.38682312488331017,-0.031539797993857664,0.31139557487486375,0.13066441386503846,0.2653891922705578,0.175447250369065,0.3545721119648062,1.0,0.46813574509477307,-0.07826011980270133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba,0.3729561671401285,0.4435974466405506,-0.14426672836865026,0.07315872097247089,0.3982339253458719,,0.3864832726146947,0.38591024854729644,0.41501679484089327,0.5265696627813827,0.428569959384639,0.3336516001301017,0.530132909347959,0.6124454098434974,0.5328122445267255,0.564387587340458,-0.012497397382925624,0.030313006660666584,-0.10247591898450424,0.38079256706760756,0.5282831155063054,0.7097459461751031,0.6162159419556866,-0.042479589072614524,0.4183363572921525,0.5120222339833095,0.3590309509549506,-0.11528494113266222,0.2651847098765077,0.38444324940666447,0.4960796985615472,0.6193284749342401,0.18604332797565146,0.46813574509477307,1.0,0.1450133446491833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
