,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSIDAD NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESCUELA DE CIENCIAS AMBIENTALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABORATORIO DE ANÁLISIS AMBIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTREGA DE RESULTADOS PROYECTO ARCAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,País,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volumen aforo (ml),Área Analizada (cm2),Área material en filtro (cm2),9Be (KED),23Na (KED),25Mg (KED),27Al (KED),39K (KED),43Ca (KED),48Ti (KED),51V (KED),52Cr (KED),55Mn (KED),56Fe (KED),59Co (KED),60Ni (KED),63Cu (KED),66Zn (KED),75As (KED),82Se (KED),95Mo (KED),107Ag (KED),111Cd (KED),121Sb (KED),135Ba (KED),201Hg (KED),208Pb (KED),C Orgánico (ug/cm2),Inc. (ug/cm2),C Elemental (ug/cm2),Inc. (ug/cm2),C Total (ug/cm2),Inc. (ug/cm2),Área material en filtro (cm2),Área analizada (cm2),Volumen aforo (ml),Área Analizada (cm2),Área material en filtro (cm2),Fluoruro,Cloruro,Nitrato,Sulfato
,,,,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,,,,,,,,,,,,ug/l,ug/l,ug/l,ug/l
A37,"50,00","44,45","406,45",n.d,"13853,22","1223,22","1403,63","1718,26","3899,32","49,81","4,23","12,66","16,15","670,65","3,25","18,04","70,46","241,15","0,85",n.d,"5,77","7,12","1,08","2,86","57,77","1,13","31,23","15,66","0,88","2,09","0,20","17,76","1,09","406,451","1,500","100,00","44,45","406,4508",d,"1053,33","1056,34","1716,82"
A38,"50,00","44,45","406,45",d,"14834,33","1329,32","1198,53","2463,27","3975,33","34,63","3,12","11,89","12,04","508,28","0,89","17,39","141,35","497,83","1,80","2,45","4,23","8,19","2,42","16,57","63,47","1,18","125,07","19,84","1,09","3,88","0,29","23,73","1,39","406,451","1,500","100,00","44,45","406,4508",d,"1124,56","1665,58","1260,77"
A39,"50,00","44,45","406,45",n.d,"13741,24","1172,32","905,40","1022,33","3941,33","27,01","2,90","9,97","8,06","402,06",n.d,"10,50","46,38","422,22","1,88",n.d,"2,58","18,97","0,76","9,06","57,58","1,36","34,07","15,19","0,86","2,44","0,22","17,63","1,08","406,451","1,500","100,00","44,45","406,4508",n.d,"910,82","1843,24","973,42"
A40,"50,00","44,45","406,45",n.d,"13904,33","1274,32","1121,67","2163,32","3707,24","34,19","5,54","18,80","16,27","505,70","0,64","15,38","70,62","357,90","1,91","2,20","19,87","15,43","4,19","19,22","60,74","0,93","63,58","25,43","1,37","3,89","0,29","29,31","1,67","406,451","1,500","100,00","44,45","406,4508",d,"1251,74","2558,23","1891,08"
A41,"50,00","44,45","406,45",n.d,"14913,27","1123,32","1711,17","3413,32","4811,24","73,82","4,12","13,81","25,45","898,48","0,92","27,87","74,80","244,34","0,70",n.d,"2,24","5,75","0,71","3,10","68,24","0,76","14,40","10,74","0,64","1,42","0,17","12,16","0,81","406,451","1,500","100,00","44,45","406,4508",d,"922,38",d,"999,07"
A42,"50,00","44,45","406,45",n.d,"17343,32","1575,70","1411,16","5535,24","5199,33","44,53","3,41","9,53","14,16","439,43","1,05","33,92","104,16","314,70","0,77",n.d,"1,83","8,61","1,00","1,54","54,69",d,"16,03","11,58","0,68","1,13","0,16","12,72","0,84","406,451","1,500","100,00","44,45","406,4508",d,d,"1024,35","898,25"
A43,"50,00","44,45","406,45",n.d,"17586,32","1315,32","1355,49","5402,33","5232,01","47,33","10,73","12,76","18,73","704,84","2,75","48,79","153,46","349,63","2,10","1,95","3,12","6,31","1,33","10,56","85,52",d,"65,81","15,14","0,86","4,68","0,33","19,82","1,19","406,451","1,500","100,00","44,45","406,4508",d,"1258,76","1302,80","2190,22"
A44,"50,00","44,45","406,45",n.d,"17609,32","1508,32","1413,88","5221,21","3201,25","41,82","5,46","15,33","14,16","544,45","1,09","43,87","231,00","271,89","1,10",n.d,"2,01","7,28","0,61","4,51","59,23",d,"11,84","15,41","0,87","1,12","0,16","16,54","1,03","406,451","1,500","100,00","44,45","406,4508",d,"765,96","1492,13","1061,15"
A45,"50,00","44,45","406,45",n.d,"17183,20","1509,32","1325,89","3823,66","4474,54","43,52","3,29","38,96","23,11","838,08","1,24","45,56","166,68","381,50","1,44","1,47","6,28","12,16","1,95","18,27","74,15",d,"107,28","22,13","1,21","4,59","0,33","26,71","1,54","406,451","1,500","100,00","44,45","406,4508",d,"1453,48","1322,40","1512,51"
A46,"50,00","44,45","406,45",n.d,"13705,32","1252,57","1147,74","3514,32","3857,33","39,20","20,15","12,81","17,55","721,84","1,06","37,21","135,41","240,09","2,98","0,82","3,58","12,24","1,67","11,59","62,15",d,"147,17","58,99","3,05","4,66","0,33","63,66","3,38","406,451","1,500","100,00","44,45","406,4508","90,88","1431,32","6714,60","3441,21"
A47,"50,00","44,45","406,45",n.d,"15302,32","1316,53","1461,96","1349,45","4454,32","42,34","5,90","14,59","17,67","711,57","0,89","18,23","257,96","324,04","1,97","5,20","1,96","11,35","0,91","8,08","64,83",d,"163,73","13,79","0,79","3,39","0,27","17,19","1,06","406,451","1,500","100,00","44,45","406,4508",d,"1275,20","1946,09","2201,45"
A48,"50,00","44,45","406,45",n.d,"14844,32","1107,12","1134,58","2663,24","3754,32","47,09","18,88","21,05","30,51","1030,06","0,92","24,88","85,10","397,40","2,35",n.d,"4,46","7,16","2,88","15,11","86,44",d,"43,06","43,75","2,29","7,88","0,49","51,64","2,78","406,451","1,500","100,00","44,45","406,4508",d,"1632,88","3379,55","2606,90"
A49,"50,00","44,45","406,45",n.d,"16135,32","1247,32","1035,11","2785,24","4108,24","30,74","10,43","12,32","16,64","469,10","0,52","20,52","56,01","376,76","1,11",n.d,"1,87","5,12","1,20","2,87","59,69","0,49","33,32","23,49","1,27","3,27","0,26","26,76","1,54","406,451","1,500","100,00","44,45","406,4508",d,"1267,31","2060,37","2777,67"
A50,"50,00","44,45","406,45",n.d,"15221,32","1193,27","1275,52","2853,20","4271,24","44,18","3,96","18,68","15,99","664,63","0,57","13,81","59,31","253,74","1,46",n.d,"1,83","5,37","0,72","3,23","65,32",d,"26,17","35,85","1,89","2,87","0,24","38,72","2,14","406,451","1,500","100,00","44,45","406,4508",d,"913,93","1669,37","2796,39"
A51,"50,00","44,45","406,45",n.d,"17323,32","1642,63","1824,66","3582,32","2365,90","54,00","3,79","13,90","21,44","902,92","1,32","46,82","209,26","385,50","3,05",n.d,"1,99","4,41","3,48","25,67","69,28","0,61","40,85","39,87","2,09","2,68","0,23","42,56","2,33","406,451","1,500","100,00","44,45","406,4508",d,"2139,00","1643,63","1170,92"
A52,"50,00","44,45","406,45",n.d,"14061,32","973,23","1196,25","3265,41","4041,33","41,82","3,17","14,13","18,59","574,49","0,56","9,64","75,66","236,49","1,86",n.d,"1,69","5,60","1,73","12,98","57,24",d,"46,04","19,60","1,08","2,11","0,21","21,70","1,29","406,451","1,500","100,00","44,45","406,4508",n.d,"1605,23","1317,53","1069,28"
A53,"50,00","44,45","406,45",n.d,"15363,20","1319,53","1429,92","3201,25","3685,33","38,94","13,85","14,37","10,56","696,39","0,59","15,92","38,82","217,08","1,37",n.d,"2,34","4,37",n.d,"5,23","62,99","0,90","25,58","15,18","0,86","3,26","0,26","18,44","1,12","406,451","1,500","100,00","44,45","406,4508",n.d,"1336,81","1667,27","2785,94"
A54,"50,00","44,45","406,45",n.d,"14101,57","842,32","991,54","1855,24","3097,33","27,52","3,05","14,42","13,02","526,26","0,93","14,98","56,72","229,39","0,77",d,"1,82","9,77","0,73","3,59","53,99",d,"50,34","10,92","0,65","3,40","0,27","14,32","0,92","406,451","1,500","100,00","44,45","406,4508",d,d,"1417,62","1660,09"
A55,"50,00","44,45","406,45",n.d,"14029,32","1191,32","1522,46","1583,24","3882,24","60,38","4,46","21,42","23,44","755,46","0,57","46,90","74,24","392,07","1,48",n.d,"4,30","4,48","2,09","16,08","65,59","0,67","83,38","21,88","1,19","2,67","0,23","24,54","1,43","406,451","1,500","100,00","44,45","406,4508",d,"1018,02","3088,49","1699,00"
A56,"50,00","44,45","406,45",n.d,"15553,21","1363,01","1420,65","1142,37","4052,03","49,58","10,25","12,75","11,78","567,83","0,48","16,97","38,59","226,19","0,85",n.d,"1,51","1,01","0,59","4,17","70,00",d,"43,91","22,38","1,22","2,53","0,23","24,91","1,45","406,451","1,500","100,00","44,45","406,4508",d,"793,50","1507,46","1531,46"
A57,"50,00","44,45","406,45",n.d,"12324,32","565,33","965,34","2038,32","2962,24","48,59","6,16","12,04","21,84","738,89","0,51","13,33","29,29","142,19","0,85",n.d,"1,31","0,70","0,62","3,11","55,91",d,"18,03","31,34","1,67","2,61","0,23","33,95","1,90","406,451","1,500","100,00","44,45","406,4508",d,"1360,46","1602,76","1588,43"
A58,"50,00","44,45","406,45",n.d,"14287,32","957,33","1887,90","7639,23","4212,37","87,63","6,30","11,99","25,77","1016,15","0,58","8,51","25,88","98,18","0,92",n.d,"1,11","6,65",n.d,"3,91","68,86","2,40","14,72","17,56","0,98","1,51","0,18","19,07","1,15","406,451","1,500","100,00","44,45","406,4508",n.d,"1061,12",d,"1434,03"
A59,"50,00","44,45","406,45",n.d,"14043,27","937,33","1138,08","1359,23","3389,24","45,98","13,91","17,72","20,96","722,39","0,44","11,32","36,36","161,73","1,37",n.d,"2,57","0,29","0,82","13,04","60,81",n.d,"45,26","30,79","1,64","2,98","0,25","33,77","1,89","406,451","1,500","100,00","44,45","406,4508",d,"1176,00","1852,09","2162,46"
A60,"50,00","44,45","406,45",n.d,"11146,12","562,63","454,05",d,"2276,32","12,19","1,63","8,82","1,74","120,05",n.d,"6,58","14,13","69,06",n.d,n.d,n.d,d,n.d,n.d,"38,76",n.d,"1,51","3,59","0,28","0,13","0,11","3,72","0,39","406,451","1,500","100,00","44,45","406,4508",n.d,d,n.d,d
A61,"50,00","44,45","406,45",n.d,"15436,33","1089,52","914,20","831,24","3207,32","30,33","6,29","10,86","6,82","355,53","0,61","8,42","18,51","60,18",n.d,n.d,"1,14",d,n.d,"2,74","53,79",n.d,"3,57","14,80","0,84","2,49","0,22","17,28","1,06","406,451","1,500","100,00","44,45","406,4508",d,"1355,21","1141,05","1633,91"
A62,"50,00","44,45","406,45",n.d,"11948,32","915,33","997,19","999,24","3217,20","34,96","5,19","11,26","11,53","423,39",n.d,"6,50","26,26","108,57","1,35",n.d,"1,16","1,08","1,09","6,55","50,07",n.d,"64,17","22,68","1,23","3,78","0,29","26,46","1,52","406,451","1,500","100,00","44,45","406,4508",d,"960,87","1579,09","2579,79"
A63,"50,00","44,45","406,45",n.d,"12688,33","969,24","892,19","723,56","3197,24","32,35","8,03","11,14","7,94","401,31",d,"15,96","16,85","79,94","0,78",n.d,"1,14","0,45","0,77","1,67","51,99",n.d,"18,89","11,10","0,66","3,59","0,28","14,69","0,93","406,451","1,500","100,00","44,45","406,4508",n.d,"1341,46",d,"2844,64"
A64,"50,00","44,45","406,45",n.d,"11041,24","591,32","698,75","942,33","2752,32","29,67","5,31","9,74","9,43","395,01",n.d,"14,93","16,54","92,05","0,71",n.d,"0,98","0,44",n.d,"1,14","44,41",n.d,"7,47","13,74","0,79","2,04","0,20","15,78","0,99","406,451","1,500","100,00","44,45","406,4508",d,"794,93","1074,81","1979,53"
A65,"50,00","44,45","406,45",n.d,"11469,32","881,20","874,48","865,57","2882,32","31,89","3,95","9,95","11,97","381,58","0,56","16,45","20,41","348,37","0,78",n.d,"1,30","0,47",n.d,"2,18","50,66",n.d,"11,81","19,62","1,08","5,48","0,37","25,10","1,45","406,451","1,500","100,00","44,45","406,4508",d,"902,83",n.d,"2106,50"
A66,"50,00","44,45","406,45",n.d,"11572,33","805,02","606,05","661,33","2572,33","17,17","3,43","9,75","4,91","198,40","0,49","11,15","22,77","104,17","0,86",n.d,"1,10","0,45",n.d,"2,94","46,10",d,"21,23","10,51","0,63","3,60","0,28","14,11","0,91","406,451","1,500","100,00","44,45","406,4508",d,"1032,28","1010,16","2577,19"
A67,"50,00","44,45","406,45",n.d,"11233,32","835,35","830,48","1032,37","3074,33","35,02","2,80","18,65","18,39","763,06","0,46","11,51","87,64","232,27","1,49",n.d,"2,07","0,46","1,78","19,87","65,38",n.d,"74,69","33,87","1,79","7,49","0,47","41,35","2,27","406,451","1,500","100,00","44,45","406,4508",d,"1225,14","1282,99","1896,38"
A68,"50,00","44,45","406,45",n.d,"11948,24","1036,10","919,35","783,20","3598,32","29,39","5,79","15,06","10,28","385,05",n.d,"9,32","29,20","122,90","0,62",n.d,"1,70","0,28",n.d,"4,60","51,66",n.d,"29,68","14,24","0,81","3,22","0,26","17,46","1,07","406,451","1,500","100,00","44,45","406,4508",n.d,"985,97","1129,64","1957,63"
A69,"50,00","44,45","406,45",n.d,"11895,52","857,24","734,59","604,24","3251,33","18,71","1,10","9,16","2,05","162,07",n.d,"8,28","15,80","72,50",n.d,n.d,d,"0,97",n.d,"0,57","46,43",n.d,"1,56","2,62","0,23",d,,"2,69","0,33","406,451","1,500","100,00","44,45","406,4508",n.d,d,n.d,"518,82"
